04-04-2026 15:49:18.175,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"

04-04-2026 15:45:56.655,50,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:45:58.250,51,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:04.844,52,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:06.457,53,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:08.047,54,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:14.237,55,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:15.804,56,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:17.404,57,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:19.003,58,RECV,7E004690007D33A200425E9122667D3101244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636FF
04-04-2026 15:46:19.959,59,RECV,7E00028A0372
04-04-2026 15:46:21.291,60,RECV,7E00028A066F
04-04-2026 15:46:21.323,61,RECV,7E00028A4332
04-04-2026 15:46:39.704,62,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:41.295,63,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:42.879,64,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:49.484,65,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:51.033,66,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:52.670,67,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:46:59.244,68,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:00.845,69,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
