04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"

04-15-2026 19:34:56.797,587,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:34:58.377,588,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:34:59.994,589,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:06.195,590,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:07.791,591,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:09.395,592,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:10.990,593,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:17.590,594,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:19.190,595,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:20.789,596,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:27.382,597,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:28.937,598,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
